Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
1,0.3202,1.558,0.8449,0.0939,-0.1157,-0.0185,0.9887
2,0.3307,1.5698,0.8365,0.0709,-0.1048,-0.0184,0.9918
3,0.3432,1.5806,0.8281,0.0488,-0.0916,-0.0193,0.9944
4,0.3563,1.5892,0.8196,0.0287,-0.0767,-0.0206,0.9964
5,0.3691,1.5967,0.812,0.0086,-0.0625,-0.0199,0.9978
6,0.3804,1.6022,0.8068,-0.0066,-0.0517,-0.02,0.9984
7,0.3917,1.6056,0.8024,-0.0148,-0.0408,-0.0216,0.9988
8,0.4031,1.6077,0.7983,-0.0155,-0.0282,-0.023,0.9992
9,0.4122,1.6095,0.7945,-0.0181,-0.0192,-0.0241,0.9994
10,0.4189,1.6107,0.791,-0.0217,-0.0141,-0.0257,0.9993
11,0.4228,1.6108,0.788,-0.0194,-0.0126,-0.0261,0.9994
12,0.424,1.6118,0.7848,-0.0213,-0.0133,-0.0258,0.9994
13,0.4229,1.6128,0.7829,-0.0235,-0.0138,-0.0251,0.9993
14,0.4205,1.6134,0.7822,-0.0236,-0.0141,-0.0239,0.9993
15,0.4176,1.6138,0.7822,-0.0239,-0.0149,-0.0256,0.9993
16,0.4144,1.6151,0.7825,-0.0251,-0.0147,-0.026,0.9992
17,0.411,1.6169,0.7819,-0.0265,-0.0148,-0.0263,0.9992
18,0.4072,1.6176,0.7809,-0.0245,-0.0156,-0.0266,0.9992
19,0.4043,1.619,0.7794,-0.0263,-0.0144,-0.026,0.9992
20,0.4019,1.6193,0.7782,-0.0277,-0.0143,-0.0263,0.9992
21,0.3994,1.619,0.7771,-0.0222,-0.0146,-0.0283,0.9992
22,0.3971,1.6196,0.7762,-0.0249,-0.0127,-0.0284,0.9992
23,0.3946,1.62,0.776,-0.026,-0.0117,-0.0275,0.9992
24,0.392,1.6199,0.7769,-0.0251,-0.0118,-0.0274,0.9992
25,0.3897,1.6191,0.7785,-0.0232,-0.0102,-0.0263,0.9993
26,0.3875,1.618,0.7795,-0.0182,-0.0097,-0.0261,0.9994
27,0.3853,1.6175,0.7802,-0.0161,-0.0086,-0.0263,0.9995
28,0.3823,1.6175,0.7801,-0.0144,-0.0078,-0.0256,0.9995
29,0.3777,1.6171,0.7799,-0.0117,-0.0081,-0.0242,0.9996
30,0.3724,1.6147,0.7806,-0.0031,-0.0079,-0.0229,0.9997
31,0.3669,1.6131,0.7809,0.0022,-0.0047,-0.0221,0.9997
32,0.361,1.6117,0.7804,0.0046,-0.001,-0.0224,0.9997
33,0.3551,1.6104,0.7795,0.0071,0.0037,-0.0223,0.9997
34,0.3497,1.6082,0.7783,0.0125,0.0082,-0.0221,0.9996
35,0.3455,1.6061,0.7774,0.0163,0.0144,-0.0221,0.9995
36,0.3438,1.6039,0.7774,0.0196,0.0206,-0.0228,0.9993
37,0.344,1.6027,0.7779,0.0221,0.0283,-0.0232,0.9991
38,0.346,1.602,0.7786,0.0231,0.037,-0.0228,0.9988
39,0.3485,1.6014,0.7795,0.0254,0.0439,-0.0227,0.9985
40,0.351,1.6004,0.7804,0.0281,0.0489,-0.022,0.9982
41,0.3538,1.5993,0.7814,0.0311,0.0531,-0.0205,0.9979
42,0.3577,1.5983,0.7827,0.034,0.0559,-0.0192,0.9977
43,0.3625,1.5977,0.7843,0.0363,0.059,-0.0194,0.9974
44,0.368,1.5974,0.7862,0.0371,0.0619,-0.0198,0.9972
45,0.3737,1.5973,0.7882,0.038,0.0629,-0.0198,0.9971
46,0.3794,1.5971,0.7898,0.0378,0.0639,-0.0189,0.9971
47,0.3864,1.5974,0.7909,0.037,0.0661,-0.018,0.997
48,0.3928,1.5987,0.7915,0.0323,0.0661,-0.018,0.9971
49,0.3988,1.6005,0.792,0.0258,0.0638,-0.0172,0.9975
50,0.4037,1.6017,0.7924,0.0215,0.0578,-0.0169,0.998
51,0.408,1.6032,0.7925,0.0176,0.0505,-0.0166,0.9984
52,0.4116,1.6043,0.7926,0.0156,0.0438,-0.0162,0.9988
53,0.4144,1.6041,0.7933,0.0163,0.0384,-0.0147,0.999
54,0.4171,1.6037,0.7944,0.0186,0.0347,-0.013,0.9991
55,0.4202,1.6025,0.7963,0.0233,0.0326,-0.0121,0.9991
56,0.4235,1.6008,0.7986,0.0301,0.0321,-0.01,0.999
57,0.4273,1.5984,0.8015,0.0386,0.0317,-0.0082,0.9987
58,0.4316,1.5949,0.8053,0.0498,0.031,-0.0077,0.9982
59,0.4366,1.5915,0.8094,0.0603,0.0322,-0.0068,0.9976
60,0.4418,1.5892,0.8132,0.0666,0.0341,-0.0064,0.9972
61,0.4464,1.5861,0.8172,0.0738,0.0343,-0.0069,0.9967
62,0.4508,1.5826,0.8214,0.0818,0.0336,-0.0069,0.9961
63,0.4546,1.5785,0.8261,0.0907,0.0315,-0.0071,0.9954
64,0.4578,1.5736,0.8316,0.1023,0.0283,-0.0052,0.9943
65,0.4604,1.5685,0.8375,0.1139,0.0244,-0.004,0.9932
66,0.462,1.5616,0.844,0.1292,0.0187,-0.0012,0.9914
67,0.4628,1.5538,0.8505,0.1495,0.011,0.0023,0.9887
68,0.4631,1.5457,0.8565,0.1709,0.0022,0.0044,0.9853
69,0.4635,1.5384,0.8622,0.1882,-0.0061,0.0067,0.9821
70,0.4642,1.533,0.8674,0.1995,-0.0109,0.0088,0.9798
71,0.465,1.5287,0.872,0.2076,-0.0132,0.0105,0.9781
72,0.4646,1.525,0.8764,0.215,-0.018,0.013,0.9764
73,0.4635,1.5219,0.8804,0.2223,-0.0249,0.0137,0.9746
74,0.4615,1.5196,0.8842,0.2278,-0.0324,0.013,0.9731
75,0.4587,1.518,0.8878,0.2313,-0.0398,0.0121,0.972
76,0.4551,1.5157,0.8924,0.2359,-0.0467,0.011,0.9706
77,0.45,1.5114,0.8992,0.2421,-0.0521,0.0113,0.9688
78,0.444,1.5056,0.9073,0.2494,-0.0573,0.0126,0.9666
79,0.4368,1.5005,0.9158,0.2524,-0.0657,0.0115,0.9653
80,0.4284,1.498,0.9237,0.2487,-0.0764,0.0076,0.9655
81,0.4194,1.4987,0.9307,0.236,-0.0859,0.0032,0.9679
82,0.4104,1.5009,0.9357,0.2206,-0.0919,0.001,0.971
83,0.4019,1.5045,0.9392,0.2051,-0.0945,-0.0001,0.9742
84,0.3946,1.509,0.9418,0.1893,-0.0959,-0.0013,0.9772
85,0.3888,1.5145,0.943,0.1731,-0.0961,-0.003,0.9802
86,0.3845,1.5205,0.943,0.156,-0.0951,-0.0044,0.9832
87,0.3814,1.5278,0.9416,0.1369,-0.092,-0.007,0.9863
88,0.3804,1.5358,0.9383,0.1171,-0.0866,-0.0063,0.9893
89,0.3814,1.5439,0.9337,0.1027,-0.0794,-0.0052,0.9915
90,0.3836,1.5517,0.9284,0.0879,-0.0721,-0.006,0.9935
91,0.3871,1.5584,0.9232,0.0768,-0.0643,-0.007,0.9949
92,0.3913,1.5637,0.9182,0.0691,-0.0573,-0.0076,0.9959
93,0.3958,1.5689,0.9134,0.0587,-0.0503,-0.0076,0.997
